Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity,Sex_of_driver_encoded,Owner_of_vehicle_Organization,Owner_of_vehicle_Other,Owner_of_vehicle_Owner,Accident_severity_encoded,Time_seconds,Time_binned,Number_of_vehicles_scaled,Number_of_casualties_scaled,Number_of_casualties_decimal_scaled,Time_scaled
12:11:00,Thursday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Getting off,Passenger,Female,31-50,3,Driver,Normal,Not a Pedestrian,Overloading,Serious Injury,1,0.0,0.0,1.0,1.0,43860,Siang,0.16666666666666666,-0.5442638586190858,0.1,0.4386
12:11:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Male,18-30,3,Employee,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury,1,0.0,0.0,1.0,1.0,43860,Siang,0.16666666666666666,-0.5442638586190858,0.1,0.4386
18:36:00,Wednesday,18-30,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,Improper parking,Slight Injury,1,0.0,0.0,1.0,0.0,66960,Malam,0.16666666666666666,1.4415615547278733,0.3,0.6696
18:36:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Other,Slight Injury,1,0.0,0.0,1.0,0.0,66960,Malam,0.16666666666666666,1.4415615547278733,0.3,0.6696
18:36:00,Wednesday,18-30,Unknown,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury,2,0.0,0.0,1.0,0.0,66960,Malam,0.16666666666666666,1.4415615547278733,0.3,0.6696
14:35:00,Friday,18-30,Male,Above high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,1,0.0,0.0,1.0,0.0,52500,Sore,0.0,-0.5442638586190858,0.1,0.525
12:25:00,Tuesday,Over 51,Unknown,Junior high school,Unknown,5-10yr,Automobile,Owner,Unknown,No defect,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,2,0.0,0.0,1.0,0.0,44700,Siang,0.16666666666666666,-0.5442638586190858,0.1,0.447
12:25:00,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Overspeed,Slight Injury,1,0.0,0.0,1.0,0.0,44700,Siang,0.16666666666666666,-0.5442638586190858,0.1,0.447
15:30:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,1,0.0,0.0,1.0,0.0,55800,Sore,0.0,-0.5442638586190858,0.1,0.558
18:10:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Below 1yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,1,0.0,0.0,0.0,0.0,65400,Malam,0.0,-0.5442638586190858,0.1,0.654
